person_id,frame_id,timestamp_sec,pos_x_px,pos_y_px,pos_x_meters,pos_y_meters,speed_mps,speed_kmh,acceleration_mps2,heading_deg,dist_to_zebra_meters,inside_crosswalk,behavioral_state
1,0,0.0,2956.0,2152.6,44.34,32.289,0.001,0.0,0.0,92.9,11.5,0,Stationary
1,60,2.0,2956.0,2152.8,44.34,32.291,0.001,0.0,0.0,92.9,11.5,0,Stationary
1,120,4.0,2956.2,2153.2,44.343,32.298,0.004,0.01,0.001,64.7,11.5,0,Stationary
1,180,6.01,2956.2,2151.5,44.343,32.273,0.012,0.04,0.004,270.3,11.48,0,Stationary
1,240,8.01,2956.3,2151.9,44.345,32.278,0.003,0.01,-0.005,73.7,11.49,0,Stationary
1,300,10.01,2955.1,2152.3,44.327,32.284,0.009,0.03,0.003,161.5,11.5,0,Stationary
1,360,12.01,2956.7,2152.9,44.351,32.294,0.013,0.05,0.002,22.4,11.5,0,Stationary
1,420,14.01,2955.5,2152.4,44.333,32.285,0.01,0.04,-0.001,205.0,11.5,0,Stationary
1,480,16.02,2953.6,2153.6,44.305,32.303,0.017,0.06,0.003,147.3,11.52,0,Stationary
1,540,18.02,2953.5,2160.0,44.302,32.4,0.048,0.17,0.016,91.6,11.61,0,Stationary
2,0,0.0,2291.5,843.1,34.373,12.646,0.039,0.14,0.0,264.5,7.16,0,Stationary
2,60,2.0,2291.0,838.0,34.366,12.569,0.039,0.14,0.0,264.5,7.11,0,Stationary
2,2880,96.1,2288.7,779.4,34.331,11.692,0.009,0.03,-0.0,267.7,6.51,0,Stationary
2,6120,204.2,2281.1,718.1,34.216,10.771,0.009,0.03,-0.0,262.9,6.02,0,Stationary
4,0,0.0,1209.3,1633.7,18.14,24.506,0.009,0.03,0.0,265.3,8.47,0,Stationary
4,60,2.0,1209.3,1632.6,18.139,24.489,0.009,0.03,0.0,265.3,8.47,0,Stationary
4,360,12.01,1209.6,1636.2,18.143,24.542,0.005,0.02,-0.0,85.0,8.49,0,Stationary
4,420,14.01,1209.6,1633.4,18.144,24.501,0.021,0.07,0.008,270.3,8.47,0,Stationary
4,480,16.02,1207.0,1637.8,18.104,24.567,0.038,0.14,0.009,120.8,8.46,0,Stationary
5,1020,34.03,1924.4,2158.6,28.866,32.38,0.019,0.07,0.0,239.3,21.29,0,Stationary
5,1080,36.04,1923.1,2156.5,28.847,32.348,0.019,0.07,0.0,239.3,21.26,0,Stationary
5,1140,38.04,1923.2,2156.1,28.848,32.342,0.003,0.01,-0.008,279.6,21.26,0,Stationary
5,1380,46.05,1924.6,2155.4,28.868,32.33,0.003,0.01,-0.0,330.9,21.27,0,Stationary
5,1440,48.05,1923.9,2154.9,28.859,32.324,0.006,0.02,0.001,215.5,21.26,0,Stationary
5,1560,52.05,1923.3,2156.4,28.849,32.345,0.006,0.02,0.0,114.3,21.26,0,Stationary
5,2580,86.09,1924.7,2156.9,28.87,32.353,0.001,0.0,-0.0,20.4,21.28,0,Stationary
5,2640,88.09,1924.5,2157.3,28.867,32.359,0.003,0.01,0.001,115.3,21.28,0,Stationary
5,3360,112.11,1924.3,2155.4,28.865,32.331,0.001,0.0,-0.0,265.5,21.27,0,Stationary
5,3420,114.11,1925.1,2156.8,28.877,32.352,0.012,0.04,0.005,60.1,21.29,0,Stationary
5,3480,116.12,1924.7,2157.9,28.871,32.368,0.008,0.03,-0.002,109.8,21.29,0,Stationary
5,5580,186.19,1923.6,2156.8,28.853,32.352,0.0,0.0,-0.0,221.4,21.26,0,Stationary
5,5880,196.2,1923.6,2158.4,28.853,32.376,0.002,0.01,0.0,90.0,21.27,0,Stationary
5,6240,208.21,1924.7,2155.1,28.87,32.327,0.004,0.02,0.0,288.9,21.27,0,Stationary
6,1260,42.04,1209.4,1723.1,18.141,25.847,0.016,0.06,0.0,293.9,8.93,0,Stationary
6,1320,44.04,1210.3,1721.2,18.154,25.818,0.016,0.06,0.0,293.9,8.93,0,Stationary
6,1380,46.05,1209.8,1722.1,18.147,25.831,0.007,0.03,-0.004,116.2,8.93,0,Stationary
6,1500,50.05,1209.4,1722.6,18.142,25.839,0.002,0.01,-0.001,126.4,8.93,0,Stationary
6,1620,54.05,1210.7,1723.3,18.161,25.85,0.005,0.02,0.001,29.4,8.95,0,Stationary
6,1680,56.06,1208.9,1724.2,18.134,25.863,0.015,0.05,0.005,154.5,8.93,0,Stationary
6,1740,58.06,1209.3,1722.1,18.139,25.832,0.016,0.06,0.0,278.9,8.92,0,Stationary
6,1800,60.06,1210.5,1720.5,18.157,25.807,0.015,0.05,-0.0,306.8,8.93,0,Stationary
6,1920,64.06,1209.5,1721.8,18.142,25.827,0.006,0.02,-0.002,127.2,8.93,0,Stationary
6,1980,66.07,1209.5,1723.8,18.142,25.856,0.015,0.05,0.004,90.9,8.94,0,Stationary
6,2040,68.07,1209.2,1723.2,18.137,25.848,0.005,0.02,-0.005,243.2,8.93,0,Stationary
6,2100,70.07,1210.2,1721.1,18.154,25.816,0.018,0.06,0.006,297.7,8.93,0,Stationary
6,2160,72.07,1214.7,1719.9,18.22,25.799,0.034,0.12,0.008,345.4,8.99,0,Stationary
6,2220,74.07,1210.7,1720.0,18.16,25.801,0.03,0.11,-0.002,178.5,8.93,0,Stationary
6,2340,78.08,1209.4,1722.9,18.142,25.844,0.012,0.04,-0.005,113.5,8.93,0,Stationary
6,2400,80.08,1208.8,1723.9,18.132,25.859,0.009,0.03,-0.001,121.9,8.93,0,Stationary
6,2520,84.08,1210.5,1724.2,18.157,25.863,0.006,0.02,-0.001,8.8,8.95,0,Stationary
6,2580,86.09,1211.0,1723.7,18.166,25.855,0.006,0.02,-0.0,318.2,8.96,0,Stationary
6,2640,88.09,1210.3,1723.0,18.155,25.845,0.007,0.03,0.001,221.4,8.94,0,Stationary
6,2700,90.09,1210.1,1723.5,18.152,25.853,0.004,0.02,-0.001,111.9,8.94,0,Stationary
6,2760,92.09,1209.2,1724.8,18.137,25.871,0.012,0.04,0.004,128.3,8.94,0,Stationary
6,2820,94.09,1210.4,1725.5,18.156,25.882,0.011,0.04,-0.0,30.7,8.96,0,Stationary
6,2880,96.1,1208.7,1723.8,18.131,25.857,0.018,0.06,0.003,226.0,8.93,0,Stationary
6,2940,98.1,1209.6,1721.6,18.145,25.824,0.018,0.06,0.0,292.0,8.93,0,Stationary
6,3000,100.1,1209.9,1722.1,18.149,25.831,0.004,0.02,-0.007,57.9,8.93,0,Stationary
6,3060,102.1,1210.2,1720.9,18.153,25.813,0.009,0.03,0.003,283.5,8.93,0,Stationary
6,3120,104.1,1209.3,1724.6,18.14,25.87,0.029,0.1,0.01,103.3,8.94,0,Stationary
6,3180,106.11,1209.5,1724.5,18.142,25.868,0.002,0.01,-0.014,315.3,8.94,0,Stationary
6,3240,108.11,1208.9,1724.8,18.133,25.872,0.005,0.02,0.002,153.2,8.93,0,Stationary
6,3360,112.11,1211.2,1722.5,18.168,25.838,0.012,0.04,0.002,315.2,8.95,0,Stationary
6,3420,114.11,1210.0,1723.8,18.151,25.857,0.013,0.05,0.0,131.4,8.94,0,Stationary
6,3480,116.12,1211.3,1722.9,18.17,25.844,0.012,0.04,-0.001,326.0,8.96,0,Stationary
6,3540,118.12,1210.0,1723.3,18.15,25.85,0.01,0.04,-0.001,163.2,8.94,0,Stationary
6,3720,124.12,1214.0,1719.7,18.21,25.795,0.014,0.05,0.001,317.4,8.98,0,Stationary
6,3780,126.13,1210.0,1721.8,18.15,25.827,0.034,0.12,0.01,152.7,8.93,0,Stationary
6,3840,128.13,1208.5,1720.2,18.127,25.803,0.016,0.06,-0.009,226.6,8.9,0,Stationary
6,3900,130.13,1209.7,1722.4,18.145,25.837,0.019,0.07,0.001,61.9,8.93,0,Stationary
6,3960,132.13,1209.9,1721.1,18.148,25.816,0.01,0.04,-0.004,277.4,8.93,0,Stationary
6,4020,134.13,1209.0,1720.6,18.134,25.809,0.008,0.03,-0.001,208.5,8.91,0,Stationary
6,4140,138.14,1210.7,1720.5,18.16,25.807,0.006,0.02,-0.0,355.6,8.93,0,Stationary
6,4200,140.14,1211.6,1722.0,18.174,25.831,0.014,0.05,0.004,59.8,8.96,0,Stationary
6,4260,142.14,1210.0,1721.0,18.15,25.815,0.014,0.05,0.0,212.8,8.93,0,Stationary
6,4380,146.15,1209.6,1724.0,18.144,25.86,0.011,0.04,-0.001,97.4,8.94,0,Stationary
6,4440,148.15,1208.9,1725.0,18.133,25.874,0.009,0.03,-0.001,128.7,8.93,0,Stationary
6,4560,152.15,1208.5,1729.3,18.127,25.94,0.016,0.06,0.002,94.9,8.95,0,Stationary
6,4680,156.16,1208.2,1727.4,18.124,25.911,0.007,0.03,-0.002,262.6,8.94,0,Stationary
6,4800,160.16,1206.7,1726.1,18.1,25.891,0.008,0.03,0.0,219.0,8.91,0,Stationary
6,5100,170.17,1207.0,1729.9,18.105,25.949,0.006,0.02,-0.0,84.9,8.93,0,Stationary
6,5160,172.17,1209.4,1723.9,18.141,25.858,0.049,0.18,0.022,291.4,8.94,0,Stationary
6,5580,186.19,1209.9,1726.8,18.148,25.902,0.003,0.01,-0.003,80.8,8.96,0,Stationary
6,5760,192.19,1210.3,1728.9,18.155,25.934,0.005,0.02,0.0,78.5,8.98,0,Stationary
6,5820,194.19,1210.0,1729.5,18.15,25.943,0.005,0.02,-0.0,114.5,8.97,0,Stationary
6,5940,198.2,1208.2,1726.1,18.123,25.891,0.015,0.05,0.002,242.1,8.93,0,Stationary
6,6060,202.2,1209.9,1722.2,18.149,25.833,0.016,0.06,0.0,294.1,8.93,0,Stationary
6,6120,204.2,1212.9,1723.6,18.193,25.854,0.024,0.09,0.004,26.4,8.98,0,Stationary
6,6180,206.21,1211.7,1723.5,18.175,25.853,0.009,0.03,-0.008,186.0,8.96,0,Stationary
6,6240,208.21,1210.7,1721.8,18.16,25.827,0.015,0.05,0.003,240.8,8.94,0,Stationary
6,6300,210.21,1208.0,1721.7,18.119,25.826,0.021,0.07,0.003,181.5,8.9,0,Stationary
6,6360,212.21,1209.4,1721.0,18.14,25.815,0.012,0.04,-0.004,334.1,8.92,0,Stationary
6,6420,214.21,1207.7,1721.4,18.116,25.821,0.013,0.05,0.0,168.2,8.9,0,Stationary
6,6480,216.22,1208.6,1720.6,18.13,25.808,0.009,0.03,-0.002,319.0,8.91,0,Stationary
6,6540,218.22,1207.6,1722.9,18.114,25.843,0.019,0.07,0.005,114.5,8.9,0,Stationary
6,6600,220.22,1207.3,1725.0,18.109,25.875,0.016,0.06,-0.002,98.4,8.91,0,Stationary
6,6660,222.22,1207.3,1725.7,18.109,25.886,0.005,0.02,-0.005,90.8,8.92,0,Stationary
6,6720,224.22,1207.7,1724.7,18.116,25.87,0.008,0.03,0.001,293.9,8.92,0,Stationary
6,6780,226.23,1208.2,1721.6,18.123,25.824,0.023,0.08,0.008,278.8,8.91,0,Stationary
6,6840,228.23,1208.8,1722.3,18.132,25.835,0.007,0.03,-0.008,48.7,8.92,0,Stationary
6,6900,230.23,1207.0,1725.8,18.104,25.887,0.03,0.11,0.011,118.0,8.91,0,Stationary
6,6960,232.23,1207.5,1725.0,18.112,25.875,0.007,0.03,-0.011,302.3,8.91,0,Stationary
6,7020,234.23,1208.8,1723.8,18.133,25.857,0.014,0.05,0.003,318.6,8.93,0,Stationary
6,7080,236.24,1207.6,1724.8,18.114,25.872,0.012,0.04,-0.001,140.2,8.92,0,Stationary
