video_id,frame_id,person_id,x1,y1,x2,y2,detector_confidence,backpack,hat,upper_colour,upper_style,lower_colour,lower_style,attribute_confidence
run01,0,1,2929.525390625,2041.46484375,2982.521484375,2152.63232421875,0.5089653730392456,1,0,2,0,1,0,0.9908
run01,60,1,2929.474365234375,2040.5927734375,2982.559326171875,2152.76220703125,0.47152718901634216,1,0,2,0,1,0,0.9908
run01,120,1,2929.8583984375,2039.85986328125,2982.57666015625,2153.18701171875,0.5181466937065125,1,0,2,0,1,0,0.9908
run01,180,1,2929.23974609375,2036.3984375,2983.21337890625,2151.5341796875,0.6367769837379456,1,0,2,0,1,0,0.9908
run01,240,1,2930.4033203125,2040.27001953125,2982.251953125,2151.87890625,0.5888455510139465,1,0,2,0,1,0,0.9908
run01,300,1,2928.63525390625,2040.0693359375,2981.63720703125,2152.2783203125,0.5015679597854614,1,0,2,0,1,0,0.9908
run01,360,1,2930.581298828125,2042.99365234375,2982.891357421875,2152.93896484375,0.598368227481842,1,0,2,0,1,0,0.9908
run01,420,1,2928.695068359375,2038.349609375,2982.307861328125,2152.3642578125,0.5060833692550659,1,0,2,0,1,0,0.9908
run01,480,1,2926.568359375,2043.484619140625,2980.708984375,2153.562255859375,0.5256133079528809,1,0,2,0,1,0,0.9908
run01,540,1,2927.12060546875,2077.77392578125,2979.80224609375,2160.0,0.34417450428009033,1,0,2,0,1,0,0.9908
run01,0,2,2276.00830078125,771.439697265625,2307.04833984375,843.0750732421875,0.44868263602256775,1,0,2,0,1,0,0.9857
run01,60,2,2275.745361328125,765.1281127929688,2306.325439453125,837.9556274414062,0.5223654508590698,1,0,2,0,1,0,0.9857
run01,2880,2,2260.6005859375,714.6830444335938,2316.8447265625,779.4474487304688,0.43433499336242676,1,0,2,0,1,0,0.9857
run01,6120,2,2263.287109375,643.591796875,2298.896484375,718.08203125,0.5183255672454834,1,0,2,0,1,0,0.9857
run01,0,4,1187.2744140625,1555.9658203125,1231.4189453125,1633.74169921875,0.2626795470714569,0,0,3,1,2,0,0.9903
run01,60,4,1187.14599609375,1552.44091796875,1231.35888671875,1632.58740234375,0.23284688591957092,0,0,3,1,2,0,0.9903
run01,360,4,1187.799560546875,1558.17919921875,1231.330810546875,1636.158447265625,0.40585291385650635,0,0,3,1,2,0,0.9903
run01,420,4,1187.575927734375,1556.62890625,1231.585693359375,1633.40283203125,0.21542435884475708,0,0,3,1,2,0,0.9903
run01,480,4,1183.2080078125,1559.1309814453125,1230.7236328125,1637.7913818359375,0.5192016363143921,0,0,3,1,2,0,0.9903
run01,1020,5,1905.98291015625,2078.210693359375,1942.8427734375,2158.644775390625,0.36809054017066956,1,0,2,0,1,0,0.9764
run01,1080,5,1904.18212890625,2079.41015625,1942.1044921875,2156.5048828125,0.3208741843700409,1,0,2,0,1,0,0.9764
run01,1140,5,1906.06640625,2078.69384765625,1940.35595703125,2156.1025390625,0.32726919651031494,1,0,2,0,1,0,0.9764
