person_id,gender,confidence,frame_id,timestamp_sec,time_str,pos_x_px,pos_y_px,pos_x_m,pos_y_m,zone,destination,behavior,speed_mps,speed_kmh,stride_m,step_m,cadence_spm,group_category,carrying_load,waiting_time_sec,crossing_attempts,card_path,crop_path
61,Female,0.7272,36480,1217.22,20:17.22,3064.7,2061.9,45.97,30.93,South Kerb Side,South Kerb Side,Curbside Stationary / Waiting,0.025,0.09,0.118,0.059,24.7,Single Pedestrian Crossing,No Visible Load,6.01,0,work/physical_verification\cards\P61_verification_card.jpg,work/physical_verification\crops\P61_crop_f36480.jpg
64,Male,0.8104,38400,1281.28,21:21.28,1779.3,1763.3,26.69,26.45,South Kerb Side,South Kerb Side,Curbside Stationary / Waiting,0.001,0.0,0.1,0.05,1.8,Single Pedestrian Crossing,Backpack / Shoulder Bag,182.18,0,work/physical_verification\cards\P64_verification_card.jpg,work/physical_verification\crops\P64_crop_f38400.jpg
68,Male,0.6732,39780,1327.33,22:07.33,1214.1,469.8,18.21,7.05,North Kerb Side,North Kerb Side,Curbside Stationary / Waiting,0.029,0.1,0.139,0.069,21.0,Single Pedestrian Crossing,Backpack / Shoulder Bag,8.0,0,work/physical_verification\cards\P68_verification_card.jpg,work/physical_verification\crops\P68_crop_f39780.jpg
69,Female,0.9913,40440,1349.35,22:29.35,3086.8,2152.0,46.3,32.28,South Kerb Side,South Kerb Side,Curbside Stationary / Waiting,0.036,0.13,0.148,0.074,28.0,Single Pedestrian Crossing,No Visible Load,58.05,0,work/physical_verification\cards\P69_verification_card.jpg,work/physical_verification\crops\P69_crop_f40440.jpg
70,Male,0.935,41400,1381.38,23:01.38,1220.9,433.9,18.31,6.51,North Kerb Side,North Kerb Side,Curbside Stationary / Waiting,0.027,0.1,0.136,0.068,19.7,Single Pedestrian Crossing,Backpack / Shoulder Bag,18.02,0,work/physical_verification\cards\P70_verification_card.jpg,work/physical_verification\crops\P70_crop_f41400.jpg
72,Male,0.8818,46980,1567.57,26:07.57,937.5,343.6,14.06,5.15,North Kerb Side,North Kerb Side,Curbside Stationary / Waiting,0.007,0.02,0.101,0.05,8.0,Single Pedestrian Crossing,Backpack / Shoulder Bag,226.23,0,work/physical_verification\cards\P72_verification_card.jpg,work/physical_verification\crops\P72_crop_f46980.jpg
75,Male,0.7761,47040,1569.57,26:09.57,1190.3,1890.7,17.85,28.36,South Kerb Side,South Kerb Side,Curbside Stationary / Waiting,0.033,0.12,0.15,0.075,20.4,Couple Crossing,Backpack / Shoulder Bag,168.17,0,work/physical_verification\cards\P75_verification_card.jpg,work/physical_verification\crops\P75_crop_f47040.jpg
77,Male,0.7884,47160,1573.57,26:13.57,1189.1,1858.4,17.84,27.88,South Kerb Side,South Kerb Side,Curbside Stationary / Waiting,0.012,0.04,0.104,0.052,13.6,Couple Crossing,Backpack / Shoulder Bag,70.07,0,work/physical_verification\cards\P77_verification_card.jpg,work/physical_verification\crops\P77_crop_f47160.jpg
78,Male,0.9216,46200,1541.54,25:41.54,2617.6,1552.7,39.26,23.29,Median Side,Median Side,Median Waiting / Bus Stop,0.012,0.04,0.112,0.056,10.8,Single Pedestrian Crossing,Backpack / Shoulder Bag,72.07,1,work/physical_verification\cards\P78_verification_card.jpg,work/physical_verification\crops\P78_crop_f46200.jpg
79,Male,0.9103,47280,1577.58,26:17.58,2376.7,587.5,35.65,8.81,Median Side,Median Side,Median Waiting / Bus Stop,0.012,0.04,0.1,0.05,14.3,Single Pedestrian Crossing,Backpack / Shoulder Bag,32.04,0,work/physical_verification\cards\P79_verification_card.jpg,work/physical_verification\crops\P79_crop_f47280.jpg
81,Female,0.9814,48780,1627.63,27:07.63,1364.4,1663.4,20.47,24.95,South Kerb Side,South Kerb Side,Curbside Stationary / Waiting,0.017,0.06,0.114,0.057,15.8,Single Pedestrian Crossing,Handbag / Side Package,38.04,0,work/physical_verification\cards\P81_verification_card.jpg,work/physical_verification\crops\P81_crop_f48780.jpg
82,Male,0.9677,48960,1633.63,27:13.63,2329.7,802.1,34.94,12.03,Median Side,Median Side,Median Waiting / Bus Stop,0.019,0.07,0.115,0.057,18.0,Single Pedestrian Crossing,Backpack / Shoulder Bag,10.01,0,work/physical_verification\cards\P82_verification_card.jpg,work/physical_verification\crops\P82_crop_f48960.jpg
83,Female,0.9428,50160,1673.67,27:53.67,41.3,1112.8,0.62,16.69,Median Side,Median Side,Median Waiting / Bus Stop,0.024,0.09,0.129,0.064,19.9,Single Pedestrian Crossing,No Visible Load,8.01,0,work/physical_verification\cards\P83_verification_card.jpg,work/physical_verification\crops\P83_crop_f50160.jpg
